"GRUPOSERVICO_CODIGO";"GRUPOSERVICO_DESCRICAO";"SERVICO_CODIGO";"SERVICO_DESCRICAO";"LOGRADOURO";"NUMERO";"BAIRRO";"RPA";"DATA_DEMANDA";"SITUACAO";"DATA_ULT_SITUACAO";"latitude";"longitude"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"1TR  Rua Nova";"151                 ";"Campo Grande";"2";"2025-02-26";"ATENDIDA";"2025-03-11";"-8.039676204295";"-34.881222867394"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"1TR  da Paz";"160                 ";"Passarinho";"3";"2025-07-28";"ATENDIDA";"2025-07-29";"-7.987126931601256";"-34.9211354367435"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"2TR  do Rabilo";"402                 ";"Cohab   Ibura de Cima";"6";"2025-09-04";"ATENDIDA";"2025-09-04";"-8.1322457";"-34.9545185"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Afonso Olindense";"SN                  ";"Varzea";"4";"2025-03-14";"ATENDIDA";"2025-03-17";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Anibal Benevolo";"596                 ";"Beberibe";"2";"2025-01-24";"ATENDIDA";"2025-01-29";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beberibe Santa Cruz Futebol Clube";"1036                ";"Beberibe";"2";"2025-06-11";"ATENDIDA";"2025-06-18";"-8.0048218";"-34.8960537"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beira Rio";"1356                ";"Torre";"4";"2025-05-24";"ATENDIDA";"2025-05-26";"-8.038701";"-34.9088133"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beira Rio Deputado Osvaldo Coelho";"302                 ";"Ilha do Retiro";"4";"2025-03-24";"ATENDIDA";"2025-03-25";"-8.06390478919864";"-34.90115851163864"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"1824                ";"Boa Viagem";"6";"2025-06-04";"ATENDIDA";"2025-06-04";"-8.108182177199838";"-34.88788425922394"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"54                  ";"Boa Viagem";"6";"2025-08-24";"ATENDIDA";"2025-08-25";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"S/N                 ";"Boa Viagem";"6";"2025-08-25";"ATENDIDA";"2025-08-25";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"SN                  ";"Boa Viagem";"6";"2025-01-15";"ATENDIDA";"2025-01-15";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"SN                  ";"Boa Viagem";"6";"2025-03-23";"ATENDIDA";"2025-03-24";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"SN                  ";"Boa Viagem";"6";"2025-05-25";"ATENDIDA";"2025-05-27";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Brasilia Formosa";"162                 ";"Brasilia Teimosa";"6";"2025-05-05";"ATENDIDA";"2025-05-05";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Caxanga";"SN                  ";"Varzea";"4";"2025-04-01";"ATENDIDA";"2025-04-03";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Conselheiro Aguiar";"4010                ";"Boa Viagem";"6";"2025-08-11";"ATENDIDA";"2025-08-13";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Conselheiro Aguiar";"4565                ";"Boa Viagem";"6";"2025-08-06";"ATENDIDA";"2025-08-08";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Conselheiro Rosa e Silva";"1021                ";"Aflitos";"3";"2025-08-25";"ATENDIDA";"2025-08-26";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Doutor Jose Rufino";"2887                ";"Barro";"5";"2025-03-26";"ATENDIDA";"2025-03-28";"";""
