"GRUPOSERVICO_CODIGO";"GRUPOSERVICO_DESCRICAO";"SERVICO_CODIGO";"SERVICO_DESCRICAO";"LOGRADOURO";"NUMERO";"BAIRRO";"RPA";"DATA_DEMANDA";"SITUACAO";"DATA_ULT_SITUACAO";"latitude";"longitude"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"1TR  da Campinas";"65                  ";"Jardim Sao Paulo";"5";"2024-08-03";"ATENDIDA";"2024-08-05";"-8.0852089";"-34.9490991"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"2TR  So Nos Dois";"8                   ";"Passarinho";"3";"2024-08-12";"ATENDIDA";"2024-08-14";"-7.989593850833942";"-34.92590954314152"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"3TR  Sucupira";"1459                ";"Iputinga";"4";"2024-04-12";"ATENDIDA";"2024-04-12";"-8.028293792543325";"-34.9343494533275"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Afonso Olindense";"SN                  ";"Varzea";"4";"2023-12-18";"ATENDIDA";"2024-02-05";"-8.0359595521175";"-34.9556690454483"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Anibal Benevolo";"1833                ";"Agua Fria";"2";"2024-04-15";"ATENDIDA";"2024-04-16";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Anibal Benevolo";"1833                ";"Agua Fria";"2";"2024-10-12";"ATENDIDA";"2024-10-14";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beberibe Santa Cruz Futebol Clube";"1020                ";"Arruda";"2";"2024-08-19";"ATENDIDA";"2024-08-20";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beberibe Santa Cruz Futebol Clube";"2616                ";"Agua Fria";"2";"2024-07-04";"ATENDIDA";"2024-07-08";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beira Mar";"0000                ";"Boa Viagem";"6";"2024-10-10";"ATENDIDA";"2024-10-10";"-8.152785047588042";"-34.90831732749939"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beira Mar";"574                 ";"Boa Viagem";"6";"2024-12-18";"ATENDIDA";"2024-12-18";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beira Rio";"000                 ";"Gracas";"3";"2024-07-18";"ATENDIDA";"2024-07-18";"-8.054708433487";"-34.903155449768"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Beira Rio Governador Eduardo Campos";"1091                ";"Madalena";"4";"2024-03-05";"ATENDIDA";"2024-03-08";"-8.048774530343634";"-34.90439536780556"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"2234                ";"Boa Viagem";"6";"2024-04-09";"ATENDIDA";"2024-04-09";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"4632                ";"Boa Viagem";"6";"2024-06-27";"ATENDIDA";"2024-06-28";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"4862                ";"Boa Viagem";"6";"2024-04-22";"ATENDIDA";"2024-04-22";"";""
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"848                 ";"Pina";"6";"2024-12-13";"ATENDIDA";"2024-12-16";"-8.098647786728748";"-34.88386073650328"
"2";"LIMPEZA URBANA";"2";"REMOCAO DE ANIMAIS MORTOS PEQUENOS";"AV   Boa Viagem";"SN                  ";"Boa Viagem";"6";"2024-08-15";"ATENDIDA";"2024-08-16";"";""
